ANID,2016 Comp Group,Alternate ID,Laboratory,Investigator,Affiliation,Source/Excavator/Museum,Region,Country,State/Province,Estate,Site Name,Latitude,Longitude,UTM Zone,Northing,Easting,Material,Ware,Ceramic Type,Vessel Form,Exterior Decoration,Interior Decoration,Paste Color,Major Temper,Minor Temper,Culture,Context,Provenience,Period,Date,Picture,Comments,Notes,Compositional Group,Spare ANID,Long RDF,Long Date,Short RDF,Short Date,As,La,Lu,Nd,Sm,U,Yb,Ce,Co,Cr,Cs,Eu,Fe,Hf,Ni,Rb,Sb,Sc,Sr,Ta,Tb,Th,Zn,Zr,Al,Ba,Ca,Dy,K,Mn,Na,Ti,V
JAM001,JAM22,D.15.H8.1.A(22),MURR (SRM-1633a),"Hauser, Mark",Northwestern University,,Caribbean,Jamaica,St. Ann,Drax Hall,Drax Hall,18.0000,-77.0000,18P,195369,237419,ceramic,,Domestic Coil,yabba,Slipped and Burnish,,,,,,Slave Village,,Historic,,,,,JAM-2,JAM001,HLL2,11/21/2004,HAM1-S,11/12/2004,5.3745,7.5656,0.1442,5.9095,1.4917,1.3478,0.9485,14.8197,6.1370,57.9600,1.7006,0.4312,38846.9,4.9064,0.00,75.82,0.7822,13.2706,277.02,0.6082,0.1887,5.3641,62.59,143.34,81346.3,844.5,9534.5,1.0741,21409.6,193.04,11391.0,4296.2,134.21
JAM002,JAM21,D.15.E14.1.AA(93),MURR (SRM-1633a),"Hauser, Mark",Northwestern University,,Caribbean,Jamaica,St. Ann,Drax Hall,Drax Hall,18.0000,-77.0000,18P,195369,237419,ceramic,,Domestic Coil,yabba,Internal Glazed,,,,,,Slave Village,,Historic,,,,,JAM-1,JAM002,HLL2,11/21/2004,HAM1-S,11/12/2004,12.1129,12.7095,0.2045,9.4012,2.2179,1.3600,1.2181,21.5266,8.4929,39.1267,1.9608,0.6575,45314.2,3.9096,0.00,51.79,1.2709,15.9096,215.84,0.6465,0.2637,3.9280,57.40,123.96,97747.1,416.2,5244.2,1.6764,13999.5,249.81,20917.2,3848.9,128.36
JAM003,UNAS,D.G.T1.1.A(11),MURR (SRM-1633a),"Hauser, Mark",Northwestern University,,Caribbean,Jamaica,St. Ann,Drax Hall,Drax Hall,18.0000,-77.0000,18P,195369,237419,ceramic,,Domestic Coil,yabba,Internal Glazed,,,,,,Slave Village,,Historic,,,,,JAM-1,JAM003,HLL2,11/21/2004,HAM1-S,11/12/2004,8.3040,14.8685,0.1824,11.6675,2.5940,0.9033,1.2607,25.8881,7.0424,33.9283,1.8958,0.7771,41071.0,3.9393,0.00,51.63,1.2074,14.4171,179.78,0.5671,0.2638,3.9304,59.25,117.58,88966.8,333.1,5815.6,1.7531,12338.8,252.96,25562.1,3355.7,122.88
JAM004,JAM21,D.GH.1.1.CA(144),MURR (SRM-1633a),"Hauser, Mark",Northwestern University,,Caribbean,Jamaica,St. Ann,Drax Hall,Drax Hall,18.0000,-77.0000,18P,195369,237419,ceramic,,Domestic Coil,yabba,Internal Glazed,,,,,,Slave Village,,Historic,,,,,JAM-1,JAM004,HLL2,11/21/2004,HAM1-S,11/12/2004,9.7825,15.0853,0.2165,11.5982,2.5896,1.0790,1.3870,31.4919,14.9325,38.1266,1.8312,0.7910,42082.9,3.9618,0.00,51.56,1.5803,14.5549,189.93,0.5755,0.3271,3.7167,60.50,88.64,88937.0,422.4,8347.2,2.0188,12655.8,524.97,21215.1,2888.2,122.77
JAM005,JAM21,D.52.G10.1.A(32),MURR (SRM-1633a),"Hauser, Mark",Northwestern University,,Caribbean,Jamaica,St. Ann,Drax Hall,Drax Hall,18.0000,-77.0000,18P,195369,237419,ceramic,,Domestic Coil,Vertical Pot,Slipped and Burnish,,,,,,Slave Village,,Historic,,,,,JAM-1,JAM005,HLL2,11/21/2004,HAM1-S,11/12/2004,11.3594,17.3276,0.2224,12.4580,3.0449,1.2829,1.4749,31.1108,17.2930,41.8546,2.1160,0.9182,47048.4,4.0582,0.00,54.14,1.2462,16.9001,185.12,0.6996,0.3612,4.2185,73.55,97.16,97393.4,504.6,7668.8,2.1899,14639.9,508.45,23138.9,3352.9,131.16
JAM006,JAM21,S.15.I21.1.A(35),MURR (SRM-1633a),"Hauser, Mark",Northwestern University,,Caribbean,Jamaica,St. Ann,Seville,Seville,18.0000,-77.0000,18P,197391,227019,ceramic,,Domestic Coil,yabba,Internal Glazed,,,,,,Slave Village,,Historic,,,,,JAM-1,JAM006,HLL2,11/21/2004,HAM1-S,11/12/2004,7.7879,14.6460,0.1874,12.0870,2.6790,0.9187,1.3036,30.8953,11.4785,42.8754,1.8901,0.7883,45403.7,4.1355,0.00,50.26,1.1482,15.4072,161.02,0.6991,0.4816,3.9258,68.00,120.05,96535.7,474.1,5860.8,1.5858,14507.8,356.38,25796.7,4120.9,132.51
JAM007,JAM22,S.15.K15.2.A(34),MURR (SRM-1633a),"Hauser, Mark",Northwestern University,,Caribbean,Jamaica,St. Ann,Seville,Seville,18.0000,-77.0000,18P,197391,227019,ceramic,,Domestic Coil,chamber pot,Slipped and Burnish,,,,,,Slave Village,,Historic,,,,,JAM-2,JAM007,HLL2,11/21/2004,HAM1-S,11/12/2004,5.1811,16.4530,0.1925,10.8083,2.3638,1.2071,1.0655,27.1635,6.2904,44.2411,1.9855,0.6179,54038.9,7.0978,0.00,58.68,0.7305,14.3065,232.93,0.9678,0.4072,7.5620,79.93,183.40,88423.1,636.2,11102.7,1.6935,15676.2,359.11,12637.1,5508.9,162.61
JAM008,JAM22,S.15.M15.1.AA(90),MURR (SRM-1633a),"Hauser, Mark",Northwestern University,,Caribbean,Jamaica,St. Ann,Seville,Seville,18.0000,-77.0000,18P,197391,227019,ceramic,,Domestic Coil,yabba,Slipped and Burnish,,,,,,Slave Village,,Historic,,,,,JAM-2,JAM008,HLL2,11/21/2004,HAM1-S,11/12/2004,6.1243,16.3980,0.2516,13.0041,3.2252,1.3625,1.6615,30.5013,8.9679,45.8100,1.6250,0.8636,42315.4,5.4323,0.00,72.46,1.4513,14.7371,376.53,0.7812,0.3861,5.5928,72.48,161.95,88917.4,796.5,16573.1,2.2485,20201.8,409.52,14260.1,4026.2,151.72
JAM009,JAM21,S.18.E34.1.AA(88),MURR (SRM-1633a),"Hauser, Mark",Northwestern University,,Caribbean,Jamaica,St. Ann,Seville,Seville,18.0000,-77.0000,18P,197391,227019,ceramic,,Domestic Coil,yabba,Internal Glazed,,,,,,Slave Village,,Historic,,,,,JAM-1,JAM009,HLL2,11/21/2004,HAM1-S,11/12/2004,7.3883,14.8206,0.2520,12.1382,2.4993,1.2416,1.2695,30.2520,16.1632,40.7797,2.0208,0.7640,43569.5,4.0214,0.00,54.47,1.6025,15.5075,257.84,0.6641,0.3996,3.8705,83.96,131.34,96743.1,611.1,7631.2,2.0236,16838.6,710.11,25097.3,3802.2,125.28
JAM010,JAM22,S.18.C33.1.A(24),MURR (SRM-1633a),"Hauser, Mark",Northwestern University,,Caribbean,Jamaica,St. Ann,Seville,Seville,18.0000,-77.0000,18P,197391,227019,ceramic,,Domestic Coil,Vertical Pot,Slipped and Burnish,,,,,,Slave Village,,Historic,,,,,JAM-2,JAM010,HLL2,11/21/2004,HAM1-S,11/12/2004,6.3971,13.1211,0.2235,13.1112,2.8320,1.5658,1.3126,30.8795,7.6003,55.1141,1.8602,0.7455,50151.3,5.5991,0.00,58.54,0.9100,14.6041,296.47,0.8968,0.3699,6.8747,72.21,156.22,93660.7,668.1,14304.3,2.4490,14578.5,540.69,11309.3,4606.4,162.25
JAM011,JAM21,S.14.G9.1(86),MURR (SRM-1633a),"Hauser, Mark",Northwestern University,,Caribbean,Jamaica,St. Ann,Seville,Seville,18.0000,-77.0000,18P,197391,227019,ceramic,,Domestic Coil,yabba,Internal Glazed,,,,,,Slave Village,,Historic,,,,,JAM-1,JAM011,HLL2,11/21/2004,HAM1-S,11/12/2004,12.8404,15.8863,0.2325,12.0839,2.8611,1.0661,1.4093,29.9323,14.2259,36.9907,2.1538,0.8701,44725.5,3.7086,0.00,50.99,1.2004,17.2683,508.63,0.5933,0.4817,3.8830,69.14,99.31,93608.3,973.9,6808.9,2.2115,17857.9,513.10,23412.3,3872.5,141.75
JAM012,JAM22,D.15.H8.2.A(14),MURR (SRM-1633a),"Hauser, Mark",Northwestern University,,Caribbean,Jamaica,St. Ann,Drax Hall,Drax Hall,18.0000,-77.0000,18P,195369,237419,ceramic,,Domestic Coil,everted pot,Slipped and Burnish,,,,,,Slave Village,,Historic,,,,,JAM-2,JAM012,HLL2,11/21/2004,HAM1-S,11/12/2004,5.0614,5.0925,0.1366,2.7965,1.0285,1.0468,0.7207,10.7512,5.4498,30.9885,1.5529,0.3365,36804.6,4.4363,0.00,72.19,0.7205,12.3222,239.92,0.5817,0.1406,4.9060,61.03,111.87,81422.1,1046.4,9013.8,0.8921,19611.0,184.21,11796.0,3633.8,126.33
JAM013,JAM22,J2.144.34.3.A(30),MURR (SRM-1633a),"Hauser, Mark",Northwestern University,,Caribbean,Jamaica,St. Catherine,Juan de Bolas,Juan de Bolas,18.0000,-77.0000,18P,0,0,ceramic,,Domestic Coil,yabba,Internal Glazed,,,,,,Slave Village,,Historic,,,,,JAM-2,JAM013,HLL2,11/21/2004,HAM1-S,11/12/2004,6.8279,19.8154,0.2902,16.7469,4.1310,1.8167,1.8619,35.0778,17.3175,47.7802,1.9829,1.0500,53429.6,5.6349,0.00,53.76,2.5216,19.1457,254.53,0.6697,0.4681,6.1113,87.70,157.76,87611.4,764.9,10219.8,3.1683,19966.7,544.75,15837.1,4448.2,179.08
JAM014,JAM21,J2.166.88.3.A(31),MURR (SRM-1633a),"Hauser, Mark",Northwestern University,,Caribbean,Jamaica,St. Catherine,Juan de Bolas,Juan de Bolas,18.0000,-77.0000,18P,0,0,ceramic,,Domestic Coil,yabba,Internal Glazed,,,,,,Slave Village,,Historic,,,,,JAM-1,JAM014,HLL2,11/21/2004,HAM1-S,11/12/2004,8.1953,14.3549,0.1927,9.1498,2.2325,1.0434,1.1494,23.6074,8.5819,43.6025,2.0089,0.6875,47415.0,4.1219,0.00,52.82,1.0587,17.1302,190.38,0.7065,0.2499,3.9908,67.45,96.24,100934.7,528.1,5836.9,1.8983,15533.6,274.92,23482.1,4093.2,121.76
JAM015,JAM22,J2.144.24.3.A(23),MURR (SRM-1633a),"Hauser, Mark",Northwestern University,,Caribbean,Jamaica,St. Catherine,Juan de Bolas,Juan de Bolas,18.0000,-77.0000,18P,0,0,ceramic,,Domestic Coil,yabba,Slipped and Burnish,,,,,,Slave Village,,Historic,,,,,JAM-2,JAM015,HLL2,11/21/2004,HAM1-S,11/12/2004,4.6875,14.9348,0.1942,11.0311,2.2106,1.2963,1.0751,24.9327,6.0789,45.0730,1.7873,0.5788,46928.5,6.4945,0.00,63.24,0.6517,14.0302,285.15,0.8068,0.2140,6.4508,68.32,168.11,87753.0,828.0,7753.4,1.4990,17138.1,440.58,12672.1,4426.3,176.39
JAM016,UNAS,J2.141.35.3.AA(83),MURR (SRM-1633a),"Hauser, Mark",Northwestern University,,Caribbean,Jamaica,St. Catherine,Juan de Bolas,Juan de Bolas,18.0000,-77.0000,18P,0,0,ceramic,,Domestic Coil,everted pot,Slipped and Burnish,,,,,,Slave Village,,Historic,,,,,outlier,JAM016,HLL2,11/21/2004,HAM1-S,11/12/2004,2.9300,4.6004,0.2348,5.9592,2.1043,0.0000,1.7880,9.6082,25.8022,24.8693,0.5426,0.7413,100806.5,3.0708,0.00,6.76,0.4030,39.5000,221.25,0.2695,0.2765,1.0789,123.15,93.50,114689.8,626.4,25082.0,1.8913,3953.5,1293.03,10446.7,8230.7,422.80
JAM017,JAM22,"JDB.S166.E17.3,CB(146",MURR (SRM-1633a),"Hauser, Mark",Northwestern University,,Caribbean,Jamaica,St. Catherine,Juan de Bolas,Juan de Bolas,18.0000,-77.0000,18P,0,0,ceramic,,Domestic Coil,yabba,None,,,,,,Slave Village,,Historic,,,,,JAM-2,JAM017,HLL2,11/21/2004,HAM1-S,11/12/2004,2.9139,10.5632,0.1869,8.9776,1.9128,1.3306,1.0358,18.0157,6.0345,40.2631,1.5183,0.5004,42805.3,5.0699,0.00,59.78,0.6097,15.0430,328.26,0.6253,0.2064,5.1631,77.00,114.48,86742.1,760.9,8241.6,1.3185,17587.9,319.46,13858.3,4129.1,136.03
JAM018,JAM22,J2.144.35.3.A(3),MURR (SRM-1633a),"Hauser, Mark",Northwestern University,,Caribbean,Jamaica,St. Catherine,Juan de Bolas,Juan de Bolas,18.0000,-77.0000,18P,0,0,ceramic,,Domestic Coil,yabba,Slipped and Burnish,,,,,,Slave Village,,Historic,,,,,JAM-2,JAM018,HLL2,11/21/2004,HAM1-S,11/12/2004,5.9888,14.7553,0.2312,13.0317,3.0290,2.3371,1.4120,28.7764,9.9881,34.5747,2.0645,0.8136,44514.9,4.8914,0.00,71.99,0.6445,18.8222,283.21,0.5829,0.4586,5.7346,77.33,149.63,93231.0,784.8,5993.4,1.9615,18974.3,299.27,17223.8,3892.7,148.66
